No	Mag	X	Y
3210	11.86	-4750.75	-5539.54
3296	10.31	726.19	-4446.24
3307	9.68	1109.73	-1647.04
3333	11.58	1862.99	-615.29
3334	11.62	1761.21	5076.97
3336	10.78	2146.98	-926.93
3337	9.54	1985.51	4737.47
3339	11.08	2206.58	87.53
3341	9.89	2413.48	1068.16
3343	12.11	2604.67	-789.26
3345	12.34	2866.97	-1309.77
3346	10.66	2853.87	437.39
3347	10.18	2767.23	5293.56
3349	12.37	3029.30	2072.19
3352	11.84	3513.88	644.65
3354	12.72	4078.77	-5790.90
3356	12.69	4421.12	-4546.15
3357	10.97	4247.50	1367.85
3359	12.67	5339.55	1168.69
3360	12.22	5438.24	1339.32
3361	10.25	4707.37	1131.28
4006	9.48	-5891.55	3037.32
4011	14.14	-1725.87	2761.21
4013	15.50	-545.03	1992.54
4016	13.44	-422.53	2736.32
4019	13.02	-75.74	2084.31
4033	14.00	1021.76	1210.71
4037	13.28	1318.06	1678.80
4045	13.93	-25.85	382.85
4046	14.93	1187.21	-663.80
4047	11.76	746.35	-2601.26
4048	11.33	1873.91	-3399.67
4052	14.21	-4773.15	241.52
4053	12.74	-4289.12	841.36
4054	13.29	-4287.70	840.04
4055	13.87	-3825.65	2842.50
4056	13.34	-3882.33	1149.44
4057	14.03	-2332.33	3449.72
4058	13.42	-2213.53	6156.98
4059	13.57	-2355.56	1686.19
4060	12.10	-1305.99	6355.09
4061	13.96	-142.01	2605.33
4062	15.09	127.53	-2867.61
4063	12.93	173.88	3780.45
4064	12.88	1297.56	-1374.06
4065	13.37	1351.30	-1405.35
4067	12.28	1676.85	2995.79
4068	13.09	1796.27	1175.17
4069	12.42	1875.19	223.49
4070	14.00	1917.63	705.32
4071	14.73	2112.14	-3524.25
4072	11.38	2150.47	553.10
4092	17.67	-2568.92	1047.13
4093	15.72	-2581.62	156.13
4094	18.51	-2491.04	1331.53
4095	15.38	-2060.21	1672.75
4096	18.91	-1766.09	1470.05
4097	19.19	-1707.85	1639.69
4098	15.86	-1672.50	1630.75
4099	15.25	-1499.02	467.31
4101	18.70	-1119.67	1506.40
4102	18.25	-962.18	1088.60
4103	18.42	-1003.56	362.57
4104	17.26	-855.72	689.90
4105	12.02	-912.25	1092.05
4106	19.06	-2064.71	1566.09
4107	17.07	-1929.17	1773.70
4108	18.00	-1803.50	1626.91
4109	16.22	-1306.34	1466.85
4110	11.50	-1497.32	1650.63
4111	17.55	-1361.55	1403.47
4112	15.60	-1349.90	1114.06
4113	18.68	-1339.44	48.34
4114	14.54	-1059.89	1037.81
4115	16.45	-493.24	933.79
4116	17.93	-476.42	454.15
4117	18.83	-568.16	1019.85
4118	18.54	169.50	1583.76
4119	16.61	157.50	603.36
4120	13.56	781.08	1099.86
4121	13.27	832.06	1001.79
4122	18.10	1100.33	819.34
4123	18.25	567.22	593.00
4124	15.29	-2528.88	-439.77
4125	14.71	-2287.42	-683.30
4126	11.30	-2254.75	-773.65
4127	15.10	-2295.84	-1436.48
4128	12.02	-2112.26	-1109.21
4129	18.34	-1809.82	-2003.39
4130	17.35	-2426.54	-1647.95
4131	18.02	-1983.35	-2173.52
4132	13.70	-1754.17	-1543.10
4133	18.07	-1408.88	-398.53
4134	10.88	-2266.10	-1340.70
5001	10.54	-2661.32	20.39
5002	15.78	-2577.85	1442.82
5004	15.81	-2589.40	-734.58
5005	16.59	-2576.40	-829.49
5006	9.65	-2609.37	-1992.39
5007	17.95	-2533.05	-819.85
5008	18.60	-2547.37	-1500.31
5009	16.77	-2524.74	-1142.58
5012	8.97	-2487.66	-969.58
5013	13.02	-2515.37	-2245.01
5014	13.62	-2355.56	1686.19
5015	18.13	-2383.70	612.40
5016	17.62	-2360.09	1023.08
5017	19.00	-2402.17	-714.61
5018	18.96	-2400.12	-742.50
5019	19.30	-2421.47	-1399.52
5020	17.00	-2407.93	-1350.07
5022	16.58	-2406.40	-1348.89
5023	16.17	-2277.29	1312.62
5024	18.63	-2375.63	-1883.43
5025	19.11	-2253.07	1851.69
5027	17.97	-2299.86	-1228.96
5028	15.25	-2261.88	-524.42
5029	14.58	-2275.34	-1302.29
5032	17.54	-2173.46	121.55
5033	15.79	-2129.55	1355.61
5034	19.30	-2229.53	-2115.55
5035	19.49	-2227.97	-2113.75
5036	17.62	-2226.29	-2107.68
5037	18.57	-2112.29	1308.94
5038	18.95	-2136.52	336.51
5039	19.60	-2200.58	-1897.35
5040	16.72	-2182.78	-1442.64
5043	19.62	-2066.53	344.66
5045	17.50	-1972.59	6.05
5046	16.62	-1940.25	1151.81
5047	18.42	-1969.90	-2.47
5049	15.90	-1909.34	1664.37
5050	17.37	-1979.37	-1739.22
5051	17.75	-1881.16	776.06
5052	15.74	-1920.57	-796.24
5053	17.35	-1866.80	-16.60
5055	16.38	-1895.79	-1443.64
5059	17.47	-1782.21	874.01
5060	16.16	-1758.01	1158.34
5064	16.24	-1688.60	1611.84
5067	18.14	-1722.44	-1842.54
5069	17.58	-1691.52	-1464.85
5071	16.87	-1656.84	-451.56
5073	18.52	-1575.72	1378.05
5074	8.72	-1624.30	-834.27
5075	19.24	-1622.89	-837.32
5077	17.18	-1621.65	-1456.33
5078	18.50	-1617.38	-1327.59
5079	16.78	-1594.62	-2209.09
5082	15.38	-1476.83	1266.12
5083	17.37	-1462.65	194.50
5084	15.13	-1479.17	-1218.07
5085	17.93	-1457.53	-1318.65
5086	17.30	-1445.34	-845.87
5087	18.59	-1450.86	-1354.99
5088	12.31	-1386.27	1815.55
5089	16.97	-1420.80	-638.48
5091	17.72	-1386.12	938.82
5093	17.44	-1364.99	-78.09
5094	16.73	-1346.47	915.05
5096	19.21	-1348.61	-1094.54
5098	16.69	-1259.21	1802.17
5101	17.25	-1235.89	-1663.17
5105	18.20	-1194.73	-1131.03
5106	17.24	-1196.81	-1907.06
5107	16.37	-1169.07	-534.12
5108	17.57	-1164.10	-1906.80
5109	17.51	-1126.22	-24.99
5111	16.50	-1134.22	-1117.93
5112	17.81	-1130.72	-1664.35
5114	15.45	-1062.96	536.00
5115	16.61	-1036.74	1158.53
5117	15.49	-1046.82	-1595.09
5119	17.36	-964.12	1788.90
5124	18.59	-917.12	820.05
5126	17.35	-918.91	338.56
5127	18.30	-900.85	1431.90
5128	17.62	-936.97	-1561.10
5130	18.58	-888.58	227.03
5131	15.12	-903.58	-1978.89
5134	18.30	-853.08	1154.43
5138	18.60	-804.56	392.99
5144	19.13	-731.07	1255.85
5145	16.51	-720.61	1306.95
5147	17.06	-585.03	-21.67
5148	17.44	-588.51	-1563.10
5149	15.84	-565.54	1351.66
5151	15.24	-550.50	1093.71
5152	18.20	-514.91	1094.61
5153	19.26	-523.33	-1317.37
5154	18.95	-527.53	-2127.34
5155	18.95	-494.62	940.41
5157	19.33	-498.92	-968.92
5159	18.70	-465.16	865.62
5160	18.87	-478.30	-1176.05
5161	15.58	-476.41	-1803.54
5162	16.48	-449.11	1602.20
5165	19.48	-440.41	1638.36
5166	16.96	-440.11	-2175.01
5167	18.30	-416.56	1369.69
5168	18.00	-412.10	-885.17
5169	18.43	-412.87	-1286.58
5170	19.92	-398.98	-2272.90
5172	18.70	-379.19	-453.97
5177	14.94	-358.22	1698.78
5178	18.59	-365.88	-2201.96
5180	19.54	-335.76	-1135.13
5185	19.07	-316.32	-1392.40
5186	15.37	-309.34	-2198.48
5190	18.70	-267.72	-1379.89
5191	16.95	-253.48	1000.30
5193	16.92	-255.38	-788.40
5196	18.70	-251.11	-1252.81
5197	15.07	-246.44	-1616.40
5199	16.68	-218.70	1195.74
5201	17.53	-214.50	209.13
5202	16.64	-204.70	1125.86
5204	16.77	-210.03	-1266.76
5205	19.11	-199.13	1083.12
5207	18.29	-202.84	-1864.87
5208	19.16	-196.63	-1196.93
5213	15.09	-159.79	1502.27
5215	15.00	-158.26	1554.15
5218	16.93	-138.36	878.48
5220	14.85	-103.75	1135.23
5223	18.54	-92.92	-412.20
