angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.476672,11.249958,85.265278,104,,00 44 59.99,+85 15 55,16.666,15.28,14.785,14.603,14.531,98,,PKM,11.2499765,85.2654104,4616,11.2499765,85.26541,-5.07,-0.38,98,14.973,0.686,
0.704173,12.88875,85.166111,105,,00 51 33.30,+85 09 58,17.164,15.426,14.789,14.553,14.469,98,,PKM,12.8871713,85.1662544,5767,12.8871713,85.166254,-5.19,-0.35,98,15.026,0.877,
0.941328,12.47225,85.294722,106,2096,00 49 53.34,+85 17 41,16.749,15.305,14.791,14.607,14.561,98,,PKM,12.4720782,85.2949831,5309,12.4720782,85.294983,-5.45,-0.76,98,14.971,0.728,
1.133330,11.217958,85.173333,107,,00 44 52.31,+85 10 24,17.665,15.559,14.804,14.525,14.364,97,,PKM,11.2172124,85.1736415,4736,11.2172124,85.173642,-5.42,-0.88,97,15.098,0.982,
0.162027,12.154417,85.221667,108,1088,00 48 37.06,+85 13 18,17.384,15.49,14.805,14.557,14.469,95,,PKM,12.153877,85.2216685,5084,12.153877,85.221669,-5.81,-0.87,95,15.044,0.91,
0.252072,11.396458,85.284444,109,,00 45 35.15,+85 17 04,16.731,15.312,14.81,14.616,14.541,98,,PKM,11.3965711,85.2845134,5975,11.3965711,85.284513,-4.92,-0.45,98,15.008,0.692,D
0.270147,12.869375,85.231111,110,,00 51 28.65,+85 13 52,16.716,15.303,14.811,14.638,14.527,98,,PKM,12.8685347,85.2311384,5697,12.8685347,85.231138,-5.27,-0.05,98,14.966,0.727,
1.071218,13.160583,85.183333,111,,00 52 38.54,+85 11 00,16.691,15.304,14.813,14.627,14.521,98,,PKM,13.1592323,85.1836081,5757,13.1592323,85.183608,-5.15,-0.37,98,14.998,0.724,
0.335640,11.668833,85.244444,112,1076,00 46 40.52,+85 14 40,16.723,15.313,14.824,14.647,14.589,97,,PKM,11.6685439,85.2445341,5040,11.6685439,85.244534,-5.68,-0.14,97,15.018,0.681,
0.391406,12.367417,85.190278,113,,00 49 28.18,+85 11 25,16.612,15.292,14.827,14.657,14.555,98,,PKM,12.3662547,85.1902298,5463,12.3662547,85.19023,-5.41,-0.53,98,14.981,0.685,
0.599695,13.06725,85.228889,114,,00 52 16.14,+85 13 44,16.751,15.321,14.829,14.657,14.59,97,,PKM,13.0661089,85.2290259,5699,13.0661089,85.229026,-5.14,0.0,97,14.979,0.725,
1.243840,11.012333,85.194722,115,,00 44 02.96,+85 11 41,17.778,15.62,14.83,14.536,14.367,94,,PKM,11.0119606,85.1950661,4375,11.0119606,85.195066,-5.17,-1.12,94,15.139,1.019,
0.247842,11.432875,85.310278,116,,00 45 43.89,+85 18 37,16.73,15.327,14.83,14.657,14.596,92,,PKM,11.4329706,85.3103464,4554,11.4329706,85.310346,-5.12,-1.16,92,15.039,0.678,D
